full_text,retweet_count,user_followers_count,favorite_count,created_at,pos_score,neg_score,sent_score
distribut water purif kit packet drink water mobil van flood effect area nalbari dist,4,5,0,Tue Jul 16 11:03:02 +0000 2019,0.25,0.0,1
A door door wast segreg awar drive carri member nehru yuva kendra kapurthala punjab,1,126,0,Tue Jul 16 11:01:34 +0000 2019,0.625,0.0,1
A door door wast segreg awar drive carri member nehru yuva kendra kapurthala punjab part swachhbharat mission mycleanindia,1,165658,5,Tue Jul 16 11:00:01 +0000 2019,0.625,0.0,1
indianoil along conduct swachhta drive sabarmati railway station activ like plant tree,5,108,0,Tue Jul 16 10:58:13 +0000 2019,0.0,0.0,0
social scienc depart N S S eco club legal literaci club art depart wing sri guru harkrishan Sr sec public school sector C chd observ swachhta week premis mycleanindia mycleanchandigarh swachhbharat swachhmanch,0,1618,1,Tue Jul 16 10:52:34 +0000 2019,0.25,0.0,1
pleas retweet let stoplitt cleandelhi swachhbharat mycleanindia wemeantoclean,7,43,0,Tue Jul 16 10:50:33 +0000 2019,0.0,0.0,0
lead citi swachhata leagu take pledg keep surround clean mycleanindia swachhbharat S,4,11851,0,Tue Jul 16 10:41:31 +0000 2019,0.625,0.375,1
bhubaneswar municip corpor carri cleanli drive citi part swachhbharat mission,4,11851,0,Tue Jul 16 10:41:19 +0000 2019,0.375,0.0,1
bpcl organis cleanli amp awar drive manjeri bu stand malappuram part swachhbharat mission,5,11851,0,Tue Jul 16 10:41:01 +0000 2019,0.875,0.0,1
indian oil organis variou swacchata activ like cleanli drive amp cyclothon creat awar differ,4,11851,0,Tue Jul 16 10:40:50 +0000 2019,1.75,0.5,1
member aai carri cleanli drive jammu airport part mycleanindia movement swachhbharat,5,11851,0,Tue Jul 16 10:40:27 +0000 2019,0.375,0.125,1
As part ongo swachhatapakhwada bpcl organis tree plantat amp cleanli drive variou part,7,11851,0,Tue Jul 16 10:40:19 +0000 2019,0.5,0.375,1
lead citi swachhata leagu take pledg keep surround clean swachhbharat mycleanindia swachhata,2,11851,0,Tue Jul 16 10:40:08 +0000 2019,0.625,0.375,1
swachhbharat summer intern highlight import solid wast manag wall paint sbsi swa,13,11851,0,Tue Jul 16 10:40:00 +0000 2019,0.875,0.125,1
A tree plantat amp cleanli drive organis jammu hpcl part ongo swachhatapakhwada Sw,6,11851,0,Tue Jul 16 10:39:56 +0000 2019,0.375,0.0,1
puri municip corpor organis cleanli drive conveni devote visit citi,5,11851,0,Tue Jul 16 10:39:49 +0000 2019,0.75,0.0,1
young swacchagrahi kendriya vidyalaya jharasangam carri cleanli drive school premis,8,11851,0,Tue Jul 16 10:39:32 +0000 2019,0.375,0.125,1
As part swachhatapakhwada hpcl organis cleanli drive offic premis agra swachhbhar,4,11851,0,Tue Jul 16 10:39:04 +0000 2019,0.375,0.0,1
segreg wast sourc make compost swachhbharat mycleanindia swachhataleagu swachhsurvek,4,16,0,Tue Jul 16 10:38:52 +0000 2019,0.125,0.0,1
lead citi swachhata leagu take pledg keep surround clean swachhbharat mycleanindia swach,2,11851,0,Tue Jul 16 10:37:36 +0000 2019,0.625,0.375,1
lead citi swachhata leagu take pledg keep surround clean mycleanindia swachhbhara,8,11851,0,Tue Jul 16 10:37:23 +0000 2019,0.625,0.375,1
swachhagrhai carri cleanli drive jalgaon part swachhbharat mission mycleanindia http,3,11851,0,Tue Jul 16 10:36:06 +0000 2019,0.375,0.0,1
swachhbharat morn clean work trichi citi tamilnadu M A aleem swachh ambassador tiruchirapp,1,11851,0,Tue Jul 16 10:35:57 +0000 2019,0.375,0.0,1
swachhbharat morn clean work trichi citi tamilnadu M A aleem swachh ambassador tiruchirapp citi corpor,1,307,1,Tue Jul 16 10:34:03 +0000 2019,0.375,0.0,1
swachhbharat morn clean work trichi citi tamilnadu M A aleem swachh ambassador tiruchirapp citi corpor,0,462,1,Tue Jul 16 10:33:03 +0000 2019,0.375,0.0,1
plastic environ ssleagu mycleanindia mycleanlucknow swachhlucknow swachhbharat,0,7,0,Tue Jul 16 10:31:07 +0000 2019,0.0,0.0,0
youth volunt nehru yuva kendra nyk dharmapuri tamil nadu organis clean street drain back alley,1,45,0,Tue Jul 16 10:30:55 +0000 2019,0.0,0.0,0
pleas retweet let stoplitt cleandelhi swachhbharat mycleanindia wemeantoclean,7,1888,0,Tue Jul 16 10:30:54 +0000 2019,0.0,0.0,0
swachhagrhai carri cleanli drive jalgaon part swachhbharat mission mycleanindia,3,165658,8,Tue Jul 16 10:30:00 +0000 2019,0.375,0.0,1
that mani think swachhbharat propaganda toilet alreadi built tsp scheme v,1,5420,0,Tue Jul 16 10:07:11 +0000 2019,0.5,0.125,1
view greeneri lpg plant piyala faridabad haryana exampl swachhbharat vision swachhatap,19,33389,0,Tue Jul 16 10:06:26 +0000 2019,0.25,0.25,-1
lead citi swachhata leagu take pledg keep surround clean swachhbharat mycleanindia swachhataleagu swachhsurvekshanleagu,2,54732,5,Tue Jul 16 10:05:55 +0000 2019,0.625,0.375,1
